ÐòºÅ	TCPÁ÷ÐòºÅ	TCPÊý¾Ý¶ÎÐòºÅ	ÑÓÊ±	¶¶¶¯
569	2	2756900752	0.000029	0.003477
570	2	2756903672	0.004206	0.004177
571	2	2756918272	0.000017	0.004189
572	2	2756921192	0.004751	0.004734
573	2	2756935792	0.004816	0.000065
574	2	2756950392	0.004196	0.000620
575	2	2756964992	0.000010	0.004186
576	2	2756967912	0.001548	0.001538
577	2	2756973752	0.000741	0.000807
578	2	2756976672	0.000742	0.000001
579	2	2756985432	0.001907	0.001165
580	2	2756994192	0.000328	0.001579
581	2	2757000032	0.000816	0.000488
582	2	2757004412	0.002685	0.001869
583	2	2757019012	0.000030	0.002655
584	2	2757026312	0.001533	0.001503
585	2	2757032152	0.000773	0.000760
586	2	2757040912	0.001287	0.000514
587	2	2757046752	0.000771	0.000516
588	2	2757049672	0.001189	0.000418
589	2	2757059892	0.000747	0.000442
590	2	2757064272	0.000741	0.000006
591	2	2757068652	0.000964	0.000223
592	2	2757078872	0.000743	0.000221
593	2	2757087632	0.000742	0.000001
594	2	2757092012	0.000741	0.000001
595	2	2757100772	0.000740	0.000001
596	2	2757108072	0.000741	0.000001
597	2	2757110992	0.000836	0.000095
598	2	2757113912	0.001187	0.000351
599	2	2757124132	0.000774	0.000413
600	2	2757128512	0.000776	0.000002
601	2	2757134352	0.000773	0.000003
602	2	2757143112	0.001168	0.000395
603	2	2757154792	0.000775	0.000393
604	2	2757160632	0.001529	0.000754
605	2	2757165012	0.000775	0.000754
606	2	2757169392	0.000775	0.000000
607	2	2757175232	0.001518	0.000743
608	2	2757178152	0.001797	0.000279
609	2	2757188372	0.000780	0.001017
610	2	2757191292	0.000776	0.000004
611	2	2757200052	0.000767	0.000009
612	2	2757207352	0.001792	0.001025
613	2	2757217572	0.000794	0.000998
614	2	2757220492	0.003287	0.002493
615	2	2757235092	0.000015	0.003272
616	2	2757238012	0.001746	0.001731
617	2	2757242392	0.004695	0.002949
618	2	2757255532	0.001179	0.003516
619	2	2757265752	0.000772	0.000407
620	2	2757278892	0.002868	0.002096
621	2	2757292032	0.000933	0.001935
622	2	2757296412	0.001665	0.000732
623	2	2757300792	0.000780	0.000885
624	2	2757306632	0.001187	0.000407
625	2	2757319772	0.001722	0.000535
626	2	2757329992	0.000760	0.000962
627	2	2757334372	0.003463	0.002703
628	2	2757348972	0.000017	0.003446
629	2	2757351892	0.002072	0.002055
630	2	2757362112	0.000777	0.001295
631	2	2757367952	0.000757	0.000020
632	2	2757370872	0.001224	0.000467
633	2	2757384012	0.001674	0.000450
634	2	2757391312	0.000760	0.000914
635	2	2757397152	0.001522	0.000762
636	2	2757402992	0.000777	0.000745
637	2	2757411752	0.000777	0.000000
638	2	2757419052	0.000784	0.000007
639	2	2757426352	0.000774	0.000010
640	2	2757432192	0.000774	0.000000
641	2	2757435112	0.005872	0.005098
642	2	2757448252	0.001771	0.004101
643	2	2757455552	0.000054	0.001717
644	2	2757471612	0.004705	0.004651
645	2	2757486212	0.000024	0.004681
646	2	2757489132	0.004795	0.004771
647	2	2757499352	0.001968	0.002827
648	2	2757506652	0.000783	0.001185
649	2	2757511032	0.000790	0.000007
650	2	2757516872	0.001410	0.000620
651	2	2757531472	0.000797	0.000613
652	2	2757543152	0.000810	0.000013
653	2	2757550452	0.000783	0.000027
654	2	2757556292	0.001018	0.000235
655	2	2757563592	0.001291	0.000273
656	2	2757576732	0.002235	0.000944
657	2	2757589872	0.002441	0.000206
